,sentence
364,"ΓÇ£|PMS Hindi|RBF sana|VBS ako|PRS nautusan|VBTR kung|RBK hindi|RBF muna|RBI ako|PRS nanood|VBTS ng|CCB TV|NNPA .|PMP
"
365,"ΓÇ¥|PMS Dahan|CDB -|PMS dahang|RBD_CCP lumabas|VBAF si|DTP Titay|NNP ngunit|CCT nakita|VBTS siya|PRS ng|CCB kuya|NNC .|PMP
"
366,"ΓÇ£|PMS Titay|NNC ,|PMC saan|PRQ ka|PRS pupunta|VBTF ?|PMQ
"
367,"Hindi|RBF mo|PRS pa|RBI naaayos|VBTR ang|DTC hinigaan|VBOF mo|PRS ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP kuya|NNC .|PMP
"
368,"ΓÇ£|PMS Aayusin|VBOF ko|PRS po|RBS pagbalik|VBW ko|PRS ,|PMC kuya|NNC ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Titay|NNP .|PMP
"
369,"ΓÇ£|PMS Maganda|JJD kong|PRS_CCP kapatid|NNC ,|PMC ayusin|VBOF mo|PRS muna|RBI ,|PMC ΓÇ¥|CDB lambing|NNC ni|DTP kuya|NNC .|PMP
"
370,"ΓÇ£|PMS Isa|CDB ,|PMC dalawa|CDB ,|PMC tatlo|CDB ,|PMC apat|CDB ,|PMC ΓÇ¥|CDB bilang|NNC ni|DTP Titay|NNP .|PMP
"
371,"ΓÇ£|PMS Mag|NNC -|PMS aayos|NNC ng|CCB unan|NNC ,|PMC magtutupi|VBAF ng|CCB habol|NNC ,|PMC kukunin|VBTF_VBOF ang|DTC balat|NNC ng|CCB saging|NNC na|CCP hinulog|VBTS ko|PRS sa|CCT gilid|JJD at|CCA aayusin|VBTF ang|DTC nagkalat|VBTS na|CCP libro|NNC .|PMP
"
372,"ΓÇ¥|PMS Pag|CCR -|PMS iisa|JJD -|PMS isa|PRI ni|DTP Titay|NNP sa|CCT kaniyang|PRSP_CCP mga|DTCP gagawin|VBTF .|PMP
"
373,"Habang|RBW naglilinis|VBTR ,|PMC nakita|VBTS ni|DTP Titay|NNP sa|CCT bintana|NNC sina|DTPP Cora|NNP na|CCP naglalaro|VBTR ng|CCB habulan|NNC .|PMP
"
374,"ΓÇ£|PMS Sila|PRP naglalaro|VBTR habang|RBW ako|PRS naglilinis|VBTR .|PMP
"
375,"Hmmmp|NNP !|PMS
"
376,"Ano|PRQ ako|PRS si|DTP Cinderella|NNP ?|PMQ
"
377,"Si|DTP Titay|NNP naman|RBI ako|PRS ,|PMC ΓÇ¥|PMS Reklamo|NNP ni|DTP Titay|NNP .|PMP
"
378,"Tinignan|VBOF niya|PRS ang|DTC bintana|NNC ,|PMC mataas|JJD ito|PRO kaya|CCR di|RBF niya|PRS kayang|RBD_CCP malundag|VBW .|PMP
"
379,"Sumilip|VBAF siya|PRS sa|CCT pintuan|NNC at|CCA dahan|NNC -|PMS dahang|RBD_CCP naglakad|VBTS si|DTP Titay|NNP .|PMP
"
380,"ΓÇ£|PMS Oh|FW ,|PMC tapos|RBW kaagad|RBW ,|PMC Titay|NNP ?|PMQ
"
381,"Ang|DTC bilis|NNC naman|RBI ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP kuya|NNC .|PMP
"
382,"ΓÇ£|PMS Ako|PRS pa|RBI kuya|NNC ?|PMQ
"
383,"Si|DTP Titay|NNP to|FW .|PMP
"
384,"ΓÇ¥|PMS ΓÇ£|CDB Wow|NNCA !|PMQ
"
385,"ΓÇÿ|PMS Yan|NNC ang|DTC Titay|NNP ko|PRS .|PMP
"
386,"Buti|NNP pa|RBI tulungan|VBTF_VBOF mo|PRS si|DTP kuya|NNC sa|CCT pagputol|NNC -|PMS putol|JJD nitong|PRO_CCP sitaw|NNC ,|PMC ΓÇ¥|PMS utos|NNC ng|CCB ina|NNC ,|PMC ΓÇ£|CDB Nag|NNCA -|PMS utos|NNC na|CCP naman|RBI si|DTP mama|NNC ,|PMC ΓÇ¥|NNC sa|CCT isip|NNC ni|DTP Titay|NNP .|PMP
"
387,"ΓÇ£|PMS Opo|NNC mama|NNC ,|PMC iihi|VBTF po|RBS muna|RBI ako|PRS ha|NNCA ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Titay|NNP .|PMP
"
388,"Lumakad|VBAF siya|PRS papuntang|RBL_CCP kusina|NNC at|CCA dumaan|VBAF sa|CCT pintuan|NNC sa|CCT likod|NNC .|PMP
"
389,"ΓÇ£|PMS Titay|NNP !|PMS
"
390,"ΓÇ¥|PMS tawag|NNC ng|CCB ina|NNC .|PMP
"
391,"ΓÇ£|PMS Hindi|RBF nalang|VBTS sana|VBS Titay|VBOF ang|DTC pangalan|NNC ko|PRS ,|PMC ΓÇ¥|NNCA naiinis|VBTR na|CCP sabi|VBS ni|DTP Titay|NNP .|PMP
"
392,"Tumulong|VBAF si|DTP Titay|NNP sa|CCT kaniyang|PRSP_CCP kuya|NNC .|PMP
"
393,"ΓÇ£|PMS Kuya|NNC ,|PMC pwede|VBS magtanong|VBW ?|PMQ
"
394,"ΓÇ¥|PMS ΓÇ£|CDB Opo|NNCA ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP kuya|NNC .|PMP
"
395,"ΓÇ£|PMS Kuya|NNC ,|PMC tinuruan|VBTS ka|PRS ba|RBI nina|DTPP mama|NNC ng|CCB gawaing|NNC_CCP -|PMS bahay|NNC noon|RBW ?|PMQ
"
396,"ΓÇ¥|PMS ΓÇ£|CDB Opo|NNCA ,|PMC tinuruan|VBTS nila|PRP ako|PRS .|PMP
"
397,"Pinakita|VBTS nila|PRP kung|RBK paano|RBQ gawin|VBOF .|PMP
"
398,"Pagkatapos|VBW ,|PMC gagawin|VBTF ko|PRS ito|PRO nang|RBW kasama|CCB sila|PRP .|PMP
"
399,"Hanggang|RBW sa|CCT mag|VBW -|PMS isa|PRI ko|PRS nalang|VBTS_CCP itong|PRO_CCP gagawin|VBTF ,|PMC ΓÇ¥|CDB paliwanag|NNC ng|CCB kanyang|PRSP_CCP kuya|NNC .|PMP
"
400,"ΓÇ£|PMS Ah|RBJ ,|PMC kaya|CCR pala|NNC pinapakita|VBTR nina|DTPP mama|NNC at|CCA papa|NNC noon|RBW kung|RBK paano|RBQ nila|PRP gawin|VBOF ang|DTC gawaing|NNC_CCP -|PMS bahay|NNC ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Titay|NNP .|PMP
"
401,"ΓÇ£|PMS Bakit|PRQ kaya|CCR ganoon|PRC ang|DTC pinagawa|VBTS sa|CCT akin|PRSP ?|PMQ
"
402,"ΓÇ¥|PMS tanong|NNC ni|DTP kuya|NNC .|PMP
"
403,"ΓÇ£|PMS Para|CCT paglaki|VBW ko|PRS ay|LM marunong|JJD na|CCP ako|PRS ng|CCB gawaing|NNC_CCP -|PMS bahay|NNC ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Titay|NNP .|PMP
"
404,"ΓÇ£|PMS Ay|FW ,|PMC galing|RBL talaga|RBT ng|CCB kapatid|NNC ko|PRS ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP kuya|NNC .|PMP
"
405,"Pero|CCT sa|CCT isip|NNC ni|DTP Titay|NNP ay|LM gusto|VBS niya|PRS lamang|RBI makipaglaro|VBW .|PMP
"
406,"Nagmamadali|VBTS niyang|PRS_CCP niligpit|VBOF ang|DTC hugasan|VBOF pagkatapos|RBW kumain|VBAF .|PMP
"
407,"ΓÇ£|PMS Naghihintay|VBTR na|CCP sina|DTPP Cora|NNP .|PMP
"
408,"Baka|NNP palitan|NNC nila|PRP ako|PRS sa|CCT grupo|NNC .|PMP
"
409,"Ano|PRQ kayang|RBD_CCP pwede|RBT kong|PRS_CCP gawin|VBOF ?|PMQ
"
410,"Aha|NNP !|PMS
"
411,"Alam|VBS ko|PRS na|CCP ,|PMC ΓÇ¥|PMS sabi|VBS niya|PRS .|PMP
"
412,"Pinasok|VBOF niya|PRS sa|CCT kabinet|NNC ang|DTC mga|DTCP hugasan|NNC at|CCA umalis|VBAF .|PMP
"
413,"Blag|NNP !|PMS
"
414,"Krassshh|NNP !|PMS
"
415,"Narinig|VBTS ni|DTP Titay|NNP ang|DTC ingay|NNC sa|CCT kanilang|PRSP_CCP kusina|NNC .|PMP
"
416,"Dali|NNP -|PMS dali|JJD siyang|PRS_CCP tumakbo|VBAF papasok|RBD .|PMP
"
417,"Nakita|VBTS niya|PRS ang|DTC mga|DTCP basag|NNC na|CCP plato|NNC sa|CCT sahig|NNC habang|RBW dinidilaan|VBTR ng|CCB pusa|NNC .|PMP
"
418,"Pumunta|VBAF rin|RBI sa|CCT kusina|NNC ang|DTC ina|NNC .|PMP
"
419,"ΓÇ£|PMS Pasensya|NNC po|RBS mama|NNC .|PMP
"
420,"Mali|NNP ang|DTC ginawa|VBOF ko|PRS .|PMP
"
421,"Dapat|VBS naghugas|VBTS muna|RBI ako|PRS ng|CCB plato|NNC bago|RBW ako|PRS naglaro|VBTS .|PMP
"
422,"ΓÇ¥|PMS ΓÇ£|CDB Aasahan|VBTS_VBOF kong|PRS_CCP di|RBF na|RBI ito|PRO mauulit|VBW ,|PMC Titay|NNP ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB ina|NNC .|PMP
"
423,"Nang|RBW gabi|RBW na|RBI ,|PMC malungkot|JJD at|CCA walang|VBN_CCP ganang|JJD_CCP kumain|VBAF si|DTP Titay|NNP .|PMP
"
424,"Nabasag|VBTS ang|DTC paborito|NNC niyang|PRS_CCP plato|NNC at|CCA baso|NNC .|PMP
"
425,"Regalo|NNP pa|RBI naman|RBI iyong|PRO_CCP ng|CCB kaniyang|PRSP_CCP lola|NNC .|PMP
"
426,"Ngayon|RBW ay|LM hindi|RBF niya|PRS na|CCP magagamit|VBTF pa|RBI .|PMP
"
427,"Tila|RBM nagkakaroon|VBTR ng|CCB mahika|JJD ang|DTC kahit|CCT anong|PRQ_CCP papel|NNC na|CCP nahahawakan|VBTS ni|DTP Luna|NNP .|PMP
"
428,"Tinutupi|NNP -|PMS tupi|NNC niya|PRS lang|RBI at|CCA aba|FW ,|PMC papelastika|NNC !|PMS
"
429,"Nagiging|VBTR bisikleta|NNC ,|PMC kuneho|NNC ,|PMC korona|NNC ,|PMC pusa|NNC ,|PMC mga|DTCP bituin|NNC o|CCT kahit|CCT ano|PRQ pang|RBI_CCP hugis|NNC ng|CCB buwan|NNC ,|PMC at|CCA kung|CCR anu|FW -|PMS ano|PRQ pang|RBI_CCP mga|DTCP bagay|NNC na|CCP gusto|VBS niyang|PRS_CCP gawin|VBOF .|PMP
"
430,"Sakay|NNP ng|CCB luma|JJD niyang|PRS_CCP iskuter|NNC ,|PMC dala|JJD ang|DTC makulay|JJD niyang|PRS_CCP bag|NNC na|CCP may|VBH lamang|RBI mga|DTCP papel|NNC ,|PMC tinutungo|VBTR niya|PRS ang|DTC imprentahan|NNC kung|RBK saan|RBQ nagtatrabaho|VBTR ang|DTC ama|NNC para|CCT mangolekta|VBW ng|CCB mga|DTCP sobrang|JJCS_CCP papel|NNC upang|CCB makagawa|VBW ng|CCB mga|DTCP bagong|JJD_CCP obrang|NNC_CCP papelastik|JJD .|PMP
"
431,"Hinihiwa|NNP -|PMS hiwalay|JJD niya|PRS ang|DTC mga|DTCP papel|NNC ayon|RBR sa|CCT kulay|NNC ngunit|CCT lahat|PRI ng|CCB pulang|JJD_CCP papel|NNC ay|LM tinatago|VBTR niya|PRS sa|CCT espesyal|JJD na|CCP kahon|NNC .|PMP
"
432,"ΓÇ£|PMS Luna|NNC ,|PMC anak|NNC ,|PMC bakit|PRQ hinihiwalay|VBTR mo|PRS ang|DTC mga|DTCP pulang|JJD_CCP papel|NNC ?|PMQ
"
433,"ΓÇ¥|PMS Tahimik|JJD lang|RBI si|DTP Luna|NNP sa|CCT tanong|NNC ng|CCB ina|NNC .|PMP
"
434,"Paborito|RBD niyang|PRS_CCP magpalipad|VBW ng|CCB papelastik|JJD na|CCP eroplano|NNC kasama|CCB ang|DTC ama|NNC .|PMP
"
435,"Hinahagis|NNP nila|PRP ito|PRO pataas|JJD upang|CCB makasabay|VBW sa|CCT malakas|JJD na|CCP ihip|NNC ng|CCB hangin|NNC .|PMP
"
436,"Aba|NNP ,|PMC papelastika|NNC !|PMS
"
437,"Nakikisabay|VBTR rin|RBI sa|CCT lipad|NNC ng|CCB eroplanong|NNC_CCP papel|NNC ang|DTC mga|DTCP tutubi|NNC .|PMP
"
438,"Inaayos|VBTR niyang|PRS_CCP parang|CCT nakahilera|VBTS ang|DTC mga|DTCP palaka|NNC at|CCA nakikipag|VBTR -|PMS unahan|CDB gamit|VBS ang|DTC mga|DTCP gawa|VBS niyang|PRS_CCP papelastik|JJD na|CCP palaka|NNC .|PMP
"
439,"Pinipindot|VBTR lamang|RBI niya|PRS ang|DTC likod|NNC nito|PRO at|CCA aba|FW ,|PMC papelastika|NNC !|PMS
"
440,"Lumulundag|VBTR din|RBI ito|PRO !|PMQ
"
441,"Pinapasabay|VBTR niya|PRS sa|CCT agos|NNC ng|CCB tubig|NNC sa|CCT mababaw|JJD na|CCP parte|NNC ng|CCB sapa|NNC ang|DTC mga|DTCP mga|DTCP gawa|VBS niyang|PRS_CCP papelastik|JJD na|CCP bangka|NNC kasama|CCB ang|DTC mga|DTCP kaibigan|NNC .|PMP
"
442,"Aba|NNP ,|PMC papelastika|NNC !|PMS
"
443,"Nakikisabay|VBTR rin|RBI ang|DTC mga|DTCP lumalangoy|VBTR_VBAF na|CCP grupo|NNC ng|CCB isda|NNC sa|CCT papelastik|JJD na|CCP bangka|NNC .|PMP
"
444,"Kapag|CCR walang|VBN_CCP kuryente|NNC ,|PMC kinukwentuhan|VBTS si|DTP Luna|NNP ng|CCB nanay|NNC at|CCA tatay|NNC ng|CCB paborito|NNC niyang|PRS_CCP pampatulog|JJD na|CCP kwento|NNC sa|CCT pamamagitan|NNC ng|CCB anino|NNC ng|CCB mga|DTCP gawa|VBS niyang|PRS_CCP obrang|NNC_CCP papelastik|JJD na|CCP sina|DTPP Bakunawa|NNP at|CCA Buwan|NNP .|PMP
"
445,"At|CCA aba|FW ,|PMC Papelastika|NNP !|PMS
"
446,"Nakakatulog|VBTR agad|RBW si|DTP Luna|NNP .|PMP
"
447,"Ngunit|CCT isang|PRI_CCP gabi|RBW ,|PMC nag|VBTS -|PMS aalala|NNC ang|DTC kaniyang|PRSP_CCP mga|DTCP magulang|NNC sapagkat|CCR di|RBF lumalabas|VBTR_VBAF ng|CCB kwarto|NNC si|DTP Luna|NNP kahit|CCT anong|PRQ_CCP pilit|RBD nila|PRP .|PMP
"
448,"ΓÇ£|PMS Luna|NNC ,|PMC anak|NNC ,|PMC ano|PRQ ba|RBI ang|DTC ginagawa|VBTR mo|PRS diyan|PRL sa|CCT kwarto|NNC ?|PMQ
"
449,"Lumabas|VBAF ka|PRS na|RBI at|CCA naghanda|VBTS ako|PRS ng|CCB paborito|NNC mong|PRS_CCP pansit|JJD at|CCA biko|JJD .|PMP
"
450,"ΓÇ¥|PMS ΓÇ£|CDB Opo|NNP Mama|NNP ,|PMC malapit|JJD na|CCP po|RBS .|PMP
"
451,"May|VBH tinatapos|VBTR lang|RBI ako|PRS .|PMP
"
452,"ΓÇ¥|PMS Hinihintay|VBTR nila|PRP si|DTP Luna|NNP na|CCP buksan|VBOF ang|DTC pinto|NNC at|CCA lumabas|VBAF .|PMP
"
453,"Di|RBF nagtagal|VBTS ,|PMC hinay|NNC -|PMS hinay|JJD nilang|PRP_CCP nakita|VBTS ang|DTC liwanag|NNC galing|RBL sa|CCT kwarto|NNC ni|DTP Luna|NNP kasunod|JJD ng|CCB kaniyang|PRSP_CCP pagbukas|NNC ng|CCB pinto|NNC .|PMP
"
454,"Nagulat|VBTS sila|PRP sa|CCT bitbit|NNC ni|DTP Luna|NNP paglabas|VBW ng|CCB kwarto|NNC .|PMP
"
455,"Kulay|JJD pulang|JJD_CCP papelastik|NNC na|CCP puso|NNC na|CCP umiilaw|VBTR_VBAF dahil|CCR linagyan|VBOF niya|PRS ito|PRO ng|CCB de-bateryang|JJD_CCP lampara|NNC sa|CCT ilalim|JJD .|PMP
"
456,"ΓÇ£|PMS Mama|NNC ,|PMC regalo|NNC ko|PRS po|RBS ito|PRO sa|CCT iyong|PRSP_CCP kaarawan|NNC .|PMP
"
457,"ΓÇ¥|PMS ΓÇ£|CDB Aba|NNCA ,|PMC papelastika|NNC !|PMS
"
458,"Kaya|CCR pala|NNC tahimik|JJD ka|PRS lang|RBI nang|RBW tinanong|VBOF kita|NNC noon|RBW .|PMP
"
459,"ΓÇ¥|PMS Maraming|PRI_CCP salamat|RBS ,|PMC Luna|NNP .|PMP
"
460,"Binigyan|VBOF mo|PRS ng|CCB liwanag|NNC ang|DTC aking|PRSP_CCP gabi|RBW .|PMP
"
461,"ΓÇ¥|PMS At|CCA nagyakap|VBTS ang|DTC buong|PRI_CCP pamilya|NNC sa|CCT ilalim|JJD ng|CCB maliwanag|JJD na|CCP buwan|NNC .|PMP
"
462,"Siya|PRS si|DTP Bentong|NNP ,|PMC anim|JJN na|CCP taong|NNC_CCP gulang|NNC .|PMP
"
463,"Ayaw|RBF niyang|PRS_CCP kumain|VBAF kapag|RBK hindi|RBF sinusubuan|VBTR_VBOF .|PMP
"
464,"Ang|DTC tanging|JJD_CCP gusto|VBS niya|PRS lang|RBI ay|LM maglaro|VBAF .|PMP
"
465,"ΓÇ£|PMS Bentong|NNC_CCP ,|PMC anak|NNC ,|PMC papasok|VBTF ka|PRS na|CCP sa|CCT paaralan|NNC sa|CCT Lunes|NNP ,|PMC ΓÇ¥|CDB turan|NNC ng|CCB Nanay|NNC .|PMP
"
466,"ΓÇ£|PMS Po|NNP !|PMS
"
467,"Papasok|NNP ?|PMQ
"
468,"Ayoko|NNP po|RBS ,|PMC Nay|NNC .|PMP
"
469,"Ayokong|RBF mag|VBW -|PMS aral|NNC !|PMS
"
470,"ΓÇ¥|PMS tugon|NNC ni|DTP Bentong|NNP .|PMP
"
471,"ΓÇ£|PMS Nay|NNC ,|PMC gusto|VBS ko|PRS po|RBS dito|PRL lang|RBI ako|PRS sa|CCT bahay|NNC .|PMP
"
472,"Sino|PRQ po|RBS ang|DTC magpapakain|VBTF sa|CCT akin|PRSP doon|PRL ?|PMQ
"
473,"Baka|NNP hindi|RBF ako|PRS doon|PRL pwedeng|RBT_CCP maglaro|VBAF .|PMP
"
474,"ΓÇ¥|PMS ΓÇ£|CDB Masaya|NNP sa|CCT paaralan|NNC ,|PMC Bentong|NNC_CCP !|PMQ
"
475,"Magugustuhan|VBTF mo|PRS doon|PRL ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB nanay|NNC .|PMP
"
476,"Hinatid|VBOF ni|DTP nanay|NNC si|DTP Bentong|NNP sa|CCT paaralan|NNC .|PMP
"
477,"Kinakabahan|VBTR siya|PRS .|PMP
"
478,"Mahigpit|JJD ang|DTC hawak|NNC niya|PRS sa|CCT kamay|NNC ng|CCB kanyang|PRSP_CCP nanay|NNC .|PMP
"
479,"ΓÇ£|PMS Nay|NNC ,|PMC pareho|JJC po|RBS kami|PRP ng|CCB damit|NNC .|PMP
"
480,"Ayun|NNP pa|RBI ,|PMC pareho|JJC kami|PRP ng|CCB sapatos|NNC .|PMP
"
481,"May|VBH backpack|FW din|RBI po|RBS sila|PRP !|PMQ
"
482,"ΓÇ¥|PMS ΓÇ£|CDB Magandang|NNC_CCP umaga|RBW ,|PMC ΓÇ¥|PMS bati|VBS ni|DTP G.|NNPA Ramos|NNP ΓÇ£|PMS Ano|PRQ Bentong|RBJ ,|PMC handa|JJD ka|PRS na|CCP ba|RBI sa|CCT ating|PRSP_CCP klase|NNC ?|PMQ
"
483,"ΓÇ¥|PMS Ayaw|RBF sanang|VBS_CCP bitawan|VBOF ni|DTP Bentong|NNP ang|DTC kamay|NNC ng|CCB ina|NNC ngunit|CCT pinapasok|VBTR na|CCP siya|PRS ni|DTP G.|NNPA Ramos|NNP sa|CCT klasrum|NNC .|PMP
"
484,"Paglingon|NNP niya|PRS ,|PMC umalis|VBAF na|CCP si|DTP Nanay|NNP .|PMP
"
485,"ΓÇ£|PMS Iihi|JJD lang|RBI po|RBS ako|PRS ,|PMC G.|NNPA Ramos|NNP ,|PMC ΓÇ¥|CDB paalam|NNC ni|DTP Bentong|NNP .|PMP
"
486,"Tumakbo|VBAF siya|PRS palabas|NNC .|PMP
"
487,"Wala|VBN si|DTP nanay|NNC .|PMP
"
488,"Lumabas|VBAF siya|PRS sa|CCT gate|FW ng|CCB paaralan|NNC .|PMP
"
489,"Wala|VBN si|DTP nanay|NNC .|PMP
"
490,"Umiyak|VBAF si|DTP Bentong|NNP .|PMP
"
491,"Umupo|VBAF sa|CCT gilid|JJD ng|CCB kalsada|NNC .|PMP
"
492,"ΓÇ£|PMS Nanay|NNC ,|PMC asan|NNC ka|PRS na|RBI ?|PMQ
"
493,"ΓÇ¥|NNC iyak|NNC niya|PRS .|PMP
"
494,"RRIINNGG|NNP !|PMS
"
495,"RRIINNGG|NNP !|PMS
"
496,"RRIINNGG|NNP !|PMS
"
497,"Tumakbo|VBAF ang|DTC mga|DTCP bata|NNC papasok|VBTF sa|CCT gate|FW ng|CCB paaralan|NNC .|PMP
"
498,"Nagulat|VBTS si|DTP Bentong|NNP .|PMP
"
499,"Tumigil|VBAF siya|PRS sa|CCT pag|CCR -|PMS iyak|NNC .|PMP
"
500,"Sumunod|VBAF siya|PRS sa|CCT mga|DTCP bata|NNC papasok|NNC ng|CCB paaralan|NNC .|PMP
"
501,"Naglakad|VBTS siya|PRS sa|CCT pasilyo|NNC .|PMP
"
502,"Sa|CCT isang|PRI_CCP silid|NNC -|PMS aralan|NNC ,|PMC sumasayaw|VBTR at|CCA kumakanta|VBTR_VBAF ang|DTC mga|DTCP bata|NNC .|PMP
"
503,"Sa|CCT katabing|JJD_CCP silid|NNC naman|RBI ay|LM nagbabasa|VBTR at|CCA nagsusulat|VBTR ang|DTC mga|DTCP bata|NNC .|PMP
"
504,"Sa|CCT kabilang|CCB kwarto|NNC ,|PMC naglalaro|VBTR ang|DTC mga|DTCP bata|NNC .|PMP
"
505,"May|VBH nakita|VBTS siyang|PRS_CCP tindahan|NNC na|CCP puno|NNC ng|CCB pagkain|NNC .|PMP
"
506,"Sinilip|VBTS niya|PRS ang|DTC isang|PRI_CCP klase|NNC .|PMP
"
507,"Ang|DTC mga|DTCP bata|NNC ay|LM nakapalibot|VBTS kay|DTP G.|NNPA Ramos|NNP .|PMP
"
508,"Nagbabasa|VBTR siya|PRS ng|CCB kwento|NNC sa|CCT mga|DTCP bata|NNC .|PMP
"
509,"Maganda|JJD ang|DTC mga|DTCP drowing|FW ng|CCB libro|NNC .|PMP
"
510,"Dahan|NNP -|PMS dahang|NNC_CCP pumasok|VBAF si|DTP Bentong|NNP sa|CCT silid|NNC .|PMP
"
511,"Umupo|VBAF siya|PRS malapit|JJD kay|DTP G.|NNPA Ramos|NNP .|PMP
"
512,"Nakinig|VBTS siya|PRS kasama|CCB ang|DTC mga|DTCP kaklase|NNC .|PMP
"
513,"Tumawa|VBAF ang|DTC mga|DTCP bata|NNC .|PMP
"
514,"Nagustuhan|VBTS nila|PRP ang|DTC kwento|NNC .|PMP
"
515,"Tumawa|VBAF din|RBI si|DTP Bentong|NNP .|PMP
"
516,"ΓÇ£|PMS Mga|DTCP bata|NNC ,|PMC kumuha|VBAF ng|CCB papel|NNC .|PMP
"
517,"Ilabas|VBOF ang|DTC inyong|PRSP_CCP mga|DTCP krayola|NNC .|PMP
"
518,"Idrowing|NNP ang|DTC nagustuhan|VBTS ninyong|NNC_CCP bagay|NNC o|CCT pangyayari|NNC sa|CCT kwento|NNC ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Ginoong|NNP Ramos|NNP .|PMP
"
519,"RRIINNGG|NNP !|PMS
"
520,"RRIINNGG|NNP !|PMS
"
521,"RRIINNGG|NNP !|PMS
"
522,"Natapos|VBTS na|RBI ni|DTP Bentong|NNP ang|DTC kanyang|PRSP_CCP drowing|FW na|CCP flag|FW .|PMP
"
523,"Paglingon|NNP niya|PRS sa|CCT labas|NNC ,|PMC nakita|VBTS niyang|PRS_CCP may|VBH mga|DTCP tao|NNC na|RBI .|PMP
"
524,"May|VBH nakatitig|VBTS sa|CCT kaniya|PRSP ,|PMC ang|DTC kanyang|PRSP_CCP nanay|NNC .|PMP
"
525,"Pauwi|NNP na|CCP si|DTP Bentong|NNP at|CCA kanyang|PRSP_CCP nanay|NNC .|PMP
"
526,"ΓÇ£|PMS Nay|NNC ,|PMC ang|DTC saya|NNC pala|NNC sa|CCT paaralan|NNC .|PMP
"
527,"Marami|PRI akong|PRS_CCP nakilalang|VBTS mga|DTCP bata|NNC .|PMP
"
528,"Maraming|PRI_CCP ginagawang|VBTR_CCP nakakapagpasaya|RBD sa|CCT mga|DTCP bata|NNC .|PMP
"
529,"Marami|PRI ding|RBI_CCP pagkain|NNC doon|PRL at|CCA mabait|JJD si|DTP G.|NNPA Ramos|NNP !|PMS
"
530,"ΓÇ¥|NNPA Panay|NNP ang|DTC kwento|NNC ni|DTP Bentong|NNP .|PMP
"
531,"Natutuwa|VBTS naman|RBI si|DTP Nanay|NNP .|PMP
"
532,"ΓÇ£|PMS Diba|NNC ,|PMC sabi|VBS ko|PRS sayo|PRSP masaya|JJD doon|PRL .|PMP
"
533,"Marami|PRI kang|PRS_CCP magagawa|VBTF at|CCA matututuhan|VBTF .|PMP
"
534,"ΓÇ¥|PMS ΓÇ£|CDB Pero|CCT Nay|CDB ,|PMC lumabas|VBAF ako|PRS kanina|RBW nang|RBD walang|RBF paalam|NNC ,|PMC hindi|RBF ko|PRS na|CCP po|RBS uulitin|VBTF ΓÇÿ|PMS yon|PRO .|PMP
"
535,"Bukas|JJD ,|PMC maaga|JJD pa|RBI tayong|PRP_CCP pupunta|VBTF sa|CCT paaralan|NNC ,|PMC ΓÇ¥|PMS masayang|JJD_CCP wika|NNC ni|DTP Bentong|NNP .|PMP
"
536,"Napakamapagmasid|VBTS ni|DTP Kakay|NNP sa|CCT mga|DTCP bagay|NNC -|PMS bagay|NNC kahit|CCT pitong|JJN_CCP taon|NNC pa|RBI lamang|RBI siya|PRS .|PMP
"
537,"Iniidolo|VBTS kasi|CCR niya|PRS si|DTP Sherlock|NNP Holmes|NNP .|PMP
"
538,"At|CCA ginagaya|VBTR niya|PRS ito|PRO .|PMP
"
539,"Libot|NNP siya|PRS ng|CCB libot|FW doon|PRL sa|CCT kapitbahayan|NNC nila|PRP ,|PMC bitbit|JJD ang|DTC magnifying|JJD_CCP glass|FW ngnakatatanda|FW niyang|PRS_CCP kapatid|NNC na|CCP babae|NNC at|CCA isang|PRI_CCP notebook|FW .|PMP
"
540,"Dito|PRL niya|PRS sinusulat|VBTR ang|DTC mga|DTCP nakikita|VBTR at|CCA naoobserbahan|VBTR niya|PRS .|PMP
"
541,"Bilang|CCT halimbawa|NNC :|PMS Setyembre|NNP 6|CDB ,|PMC Lunes|NNP .|PMP
"
542,"Meron|VBH akong|PRS_CCP nakitang|VBTS_CCP maliit|JJD na|CCP itlog|NNC sa|CCT dahon|NNC ng|CCB tanim|NNC ni|DTP Inay|NNP .|PMP
"
543,"Itlog|NNC kaya|CCR ito|PRO ng|CCB ano|PRQ ?|PMQ
"
544,"Setyembre|NNP 8|CDB ,|PMC Miyerkoles|NNP .|PMP
"
545,"Di|RBF ko|PRS pa|RBI rin|RBI talaga|RBT alam|VBS kung|CCR itlog|NNC ng|CCB anong|PRQ_CCP hayop|NNC o|CCT insekto|NNC ang|DTC narito|PRL sa|CCT dahon|NNC .|PMP
"
546,"Setyembre|NNP 10|CDB ,|PMC Biyernes|NNP .|PMP
"
